d,p,logical_error_rate,total_fails,num_shots
3,0.0005,0,0,5000
3,0.0007,0,0,5000
3,0.001,0.0004,2,5000
3,0.0014,0.0002,1,5000
3,0.002,0,0,5000
3,0.0028,0.0008,4,5000
3,0.004,0.0016,8,5000
3,0.0056,0.0014,7,5000
3,0.008,0.0032,16,5000
3,0.011,0.0054,27,5000
3,0.016,0.0122,61,5000
3,0.022,0.023,115,5000
3,0.031,0.0452,226,5000
3,0.044,0.0868,434,5000
3,0.063,0.137,685,5000
3,0.088,0.2478,1239,5000
3,0.125,0.3784,1892,5000
3,0.176,0.542,2710,5000
3,0.25,0.625,3125,5000
3,0.35,0.7338,3669,5000
5,0.0005,0,0,5000
5,0.0007,0,0,5000
5,0.001,0,0,5000
5,0.0014,0,0,5000
5,0.002,0,0,5000
5,0.0028,0,0,5000
5,0.004,0,0,5000
5,0.0056,0,0,5000
5,0.008,0.0016,8,5000
5,0.011,0.0016,8,5000
5,0.016,0.0036,18,5000
5,0.022,0.0108,54,5000
5,0.031,0.027,135,5000
5,0.044,0.0716,358,5000
5,0.063,0.1592,796,5000
5,0.088,0.3032,1516,5000
5,0.125,0.5126,2563,5000
5,0.176,0.6834,3417,5000
7,0.0005,0,0,5000
7,0.0007,0,0,5000
7,0.001,0,0,5000
7,0.0014,0,0,5000
7,0.002,0,0,5000
7,0.0028,0,0,5000
7,0.004,0,0,5000
7,0.0056,0,0,5000
7,0.008,0,0,5000
7,0.011,0.0004,2,5000
7,0.016,0.0012,6,5000
7,0.022,0.002,10,5000
7,0.031,0.013,65,5000
7,0.044,0.0426,213,5000
7,0.063,0.1452,726,5000
7,0.088,0.3472,1736,5000
7,0.125,0.5984,2992,5000
7,0.176,0.735,3675,5000
9,0.0005,0,0,5000
9,0.0007,0,0,5000
9,0.001,0,0,5000
9,0.0014,0,0,5000
9,0.002,0,0,5000
9,0.0028,0,0,5000
9,0.004,0,0,5000
9,0.0056,0,0,5000
9,0.008,0,0,5000
9,0.011,0,0,5000
9,0.016,0.0004,2,5000
9,0.022,0.0004,2,5000
9,0.031,0.0036,18,5000
9,0.044,0.0272,136,5000
9,0.063,0.1162,581,5000
9,0.088,0.3684,1842,5000
9,0.125,0.654,3270,5000
11,0.0005,0,0,5000
11,0.0007,0,0,5000
11,0.001,0,0,5000
11,0.0014,0,0,5000
11,0.002,0,0,5000
11,0.0028,0,0,5000
11,0.004,0,0,5000
11,0.0056,0,0,5000
11,0.008,0,0,5000
11,0.011,0,0,5000
11,0.016,0,0,5000
11,0.022,0.0008,4,5000
11,0.031,0.0026,13,5000
11,0.044,0.0154,77,5000
11,0.063,0.1018,509,5000
11,0.088,0.376,1880,5000
11,0.125,0.695,3475,5000
15,0.0005,0,0,5000
15,0.0007,0,0,5000
15,0.001,0,0,5000
15,0.0014,0,0,5000
15,0.002,0,0,5000
15,0.0028,0,0,5000
15,0.004,0,0,5000
15,0.0056,0,0,5000
15,0.008,0,0,5000
15,0.011,0,0,5000
15,0.016,0,0,5000
15,0.022,0,0,5000
15,0.031,0.0002,1,5000
15,0.044,0.0052,26,5000
15,0.063,0.0724,362,5000
15,0.088,0.4292,2146,5000
15,0.125,0.7386,3693,5000
19,0.0005,0,0,5000
19,0.0007,0,0,5000
19,0.001,0,0,5000
19,0.0014,0,0,5000
19,0.002,0,0,5000
19,0.0028,0,0,5000
19,0.004,0,0,5000
19,0.0056,0,0,5000
19,0.008,0,0,5000
19,0.011,0,0,5000
19,0.016,0,0,5000
19,0.022,0,0,5000
19,0.031,0,0,5000
19,0.044,0.0024,12,5000
19,0.063,0.048,240,5000
19,0.088,0.4704,2352,5000
19,0.125,0.7436,3718,5000
